ticker_ishares,place,ticker,nom_yahoo,statut
PRY,Borsa Italiana,PRY.MI,Prysmian S.p.A.,vérifié
LR,Nyse Euronext - Euronext Paris,LR.PA,Legrand SA,vérifié
TSCO,London Stock Exchange,TSCO.L,Tesco PLC,vérifié
EBS,Wiener Boerse Ag,EBS.VI,Erste Group Bank AG,vérifié
HLN,London Stock Exchange,HLN.L,Haleon plc,vérifié
SAND,Nasdaq Omx Nordic,SAND.ST,Sandvik AB (publ),vérifié
SGO,Nyse Euronext - Euronext Paris,SGO.PA,Compagnie de Saint-Gobain S.A.,vérifié
SSE,London Stock Exchange,SSE.L,SSE plc,vérifié
EQNR,Oslo Bors Asa,EQNR.OL,Equinor ASA,vérifié
DSV,Omx Nordic Exchange Copenhagen A/S,DSV.CO,DSV A/S,vérifié
REP,Bolsa De Madrid,REP.MC,"Repsol, S.A.",vérifié
MBG,Xetra,MBG.DE,Mercedes-Benz Group AG,vérifié
SWED A,Nasdaq Omx Nordic,SWED-A.ST,Swedbank AB (publ),vérifié
DANSKE,Omx Nordic Exchange Copenhagen A/S,DANSKE.CO,Danske Bank A/S,vérifié
SEB A,Nasdaq Omx Nordic,SEB-A.ST,Skandinaviska Enskilda Banken AB (publ),vérifié
SIKA,SIX Swiss Exchange,SIKA.SW,Sika AG,vérifié
ORA,Nyse Euronext - Euronext Paris,ORA.PA,Orange S.A.,vérifié
SDZ,SIX Swiss Exchange,SDZ.SW,Sandoz Group AG,vérifié
GALD,SIX Swiss Exchange,GALD.SW,Galderma Group AG,vérifié
ASSA B,Nasdaq Omx Nordic,ASSA-B.ST,ASSA ABLOY AB (publ),vérifié
III,London Stock Exchange,III.L,3i Group Ord,vérifié
ALC,SIX Swiss Exchange,ALC.SW,Alcon Inc.,vérifié
VOD,London Stock Exchange,VOD.L,Vodafone Group Public Limited Company,vérifié
EXPN,London Stock Exchange,EXPN.L,Experian plc,vérifié
PRU,London Stock Exchange,PRU.L,Prudential plc,vérifié
KBC,Nyse Euronext - Euronext Brussels,KBC.BR,KBC Group NV,vérifié
ADYEN,Euronext Amsterdam,ADYEN.AS,Adyen N.V.,vérifié
AD,Euronext Amsterdam,AD.AS,Koninklijke Ahold Delhaize N.V.,vérifié
MT,Euronext Amsterdam,MT.AS,ArcelorMittal S.A.,vérifié
STMMI,Borsa Italiana,STMMI.MI,STMicroelectronics N.V.,vérifié
VWS,Omx Nordic Exchange Copenhagen A/S,VWS.CO,Vestas Wind Systems A/S,vérifié
SLHN,SIX Swiss Exchange,SLHN.SW,Swiss Life Holding AG,vérifié
ABN,Euronext Amsterdam,ABN.AS,ABN AMRO Bank N.V.,vérifié
GIVN,SIX Swiss Exchange,GIVN.SW,Givaudan SA,vérifié
BMPS,Borsa Italiana,BMPS.MI,Banca Monte dei Paschi di Siena S.p.A.,vérifié
ADS,Xetra,ADS.DE,adidas AG,vérifié
UCB,Nyse Euronext - Euronext Brussels,UCB.BR,UCB SA,vérifié
ERIC B,Nasdaq Omx Nordic,ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),vérifié
AV.,London Stock Exchange,AV.L,Aviva plc,vérifié
DNB,Oslo Bors Asa,DNB.OL,DNB Bank ASA,vérifié
AMS,Bolsa De Madrid,AMS.MC,"Amadeus IT Group, S.A.",vérifié
A5G,Irish Stock Exchange - All Market,A5G.IR,AIB Group plc,vérifié
PKO,Warsaw Stock Exchange/Equities/Main Market,PKO.WA,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,vérifié
FER,Bolsa De Madrid,FER.MC,Ferrovial N.V.,vérifié
SAMPO,Nasdaq Omx Helsinki Ltd.,SAMPO.HE,Sampo Oyj,vérifié
HO,Nyse Euronext - Euronext Paris,HO.PA,Thales S.A.,vérifié
PUB,Nyse Euronext - Euronext Paris,PUB.PA,Publicis Groupe S.A.,vérifié
DTG,Xetra,DTG.DE,Daimler Truck Holding AG,vérifié
ML,Nyse Euronext - Euronext Paris,ML.PA,Compagnie Générale des Établissements Michelin Société en commandite par actions,vérifié
EQT,Nasdaq Omx Nordic,EQT.ST,EQT AB (publ),vérifié
